#OTU ID	0CR1	0CRR	0HR1	0L3	0SR1	12CL1	12CL2	12CL3	12CL4g	12CL4	12CO1	12CO3	12CR1	12CR2	12CR3	12CR4	12H01	12HL1	12HL2	12HL3g	12HL3-strich	12HR1	12HR2	12HR3	12S02	12SL1	12SL2	12SL3	12SO1	12SO3	12SR1	12SR2	12SR3	3CL1	3CL2	3CL3	3CR1	3CR2	3CR3	3HL1	3HL2	3HR1	3HR2	3SL1	3SL2	3SL3	3SR1	3SR2	3SR3	6CL1	6CL2	6CL3	6CR1	6CR2	6CR3	6HL1	6HL2	6HL3	6HR1	6HR2	6HR3	6SL1	6SL2	6SL3	6SR1	6SR2	6SR3	9CL1	9CL2	9CL3	9CR1	9CR2	9CR3	9HL1	9HL2	9HL3	9HR1	9HR2	9HR3	9SL1	9SL2	9SR1	9SR2	9SR3	Blank1a	Blank2a	C-day-1	C-day-2a	C-day-2b	C-day-2c	C-day-3	C-day-4	CF	KitBlank	MG001	MG002	MG003	MG004	MG004-redo	MG005	MG006	MG007	MG008	MG009	MG010	MG010-redo	MG011	MG012	MG013	MG014	MG015	MG016	MG017	MG018	MG019	MG020	MG021	MG022	MG023	MG024	MG025	MG026	MG027	MG028	MG029	MG030	MG031	MG032	MG033	MG034	MG035	MG036	MG037	MG038	MG039	MG040	MG041	MG042	MG043	MG044	MG045	MG046	MG047	MG048	MG049	MG050	MG051	MG052	MG053	MG054	MG055	MG056	MG056-redo	MG057	MG057-redo	MG058	MG059	MG060	MG061	MG062	MG063	MG064	MG065	MG066	MG067	MG068	MG069	MG070	MG071	MG072	MG073	MG074	MG075	MG076	MG077	MG078	MG079	MG080	MG081	MG082	MG083	MG084	MG085	MG086	MG087	MG088	MG089	MG090	MG091	MG092	MG093	MG094	MG095	MG095-redo	MG096	MG096-redo	MG097	MG097-redo	MG098	MG099	MG100	MG101	MG102	MG103	MG104	MG105	MG106	MG107	MG108	MG109	MG110	MG111	MG111-redo	Mock1-L	Mock1-R	NC01	NC02	NC03	NC04	NC05	NC06	NC07	NC08	NC09	NC10	NC11	NC12	NC13	OL1	ZymoMock319F-1	ZymoMock319F-2	ZymoMock319F-3	ZymoMock341F-1	ZymoMock341F-2	ZymoMock341F-3
ZOTU1226	89	0	105	0	117	0	0	0	0	0	1572	389	1	0	0	1	1	0	0	0	0	0	0	0	2	151	0	0	0	3	0	0	0	0	0	0	7	2	1	0	0	9	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	83	0	3	0	0	0	0	18	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4900	2082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU1275	49	0	114	0	83	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	5	0	0	0	0	0	0	5	6	13	0	0	97	6	0	0	0	0	0	4	0	0	0	8	2	6	0	0	0	3	8	2	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	2	15	2	0	1	0	0	0	2	0	1	2	0	0	0	0	0	2	4	5	38	9	91	0	0	0	3	1	258	908	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ZOTU1040	38	0	34	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	5	0	0	0	0	0	0	0	14	4	16	0	0	69	5	0	0	0	0	1	3	0	0	0	19	1	2	0	0	0	27	39	85	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU656	303	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	4	6	0	0	0	0	0	0	22	9	9	0	0	0	0	0	0	0	1	0	0	0	0	0	3	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	4	1	1	2	0	0	1	4	1	1	3	1	1	0	2	1	0	0	1	0	1	3	2	4	0	0	0	223	16	5	0	0	0	0	0	0	0	1	6	415	398	39	4	10	9	4	2	1	8	10	4	2	1	5	2	2	5	5	3	0	4	2	3	4	6	10	5	8	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU1232	66	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	3	0	0	0	0	0	0	0	5	8	6	0	0	0	0	0	0	0	1	0	0	0	0	0	41	6	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU778	238	0	72	0	130	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	104	33	0	0	0	0	0	0	23	5	19	0	0	3	0	0	0	0	1	0	0	0	0	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	53	31	156	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ZOTU1284	550	3027	3855	767	660	0	1	72	0	0	0	5	3	3	4	3	61	2	1	0	0	1	0	2	2286	2	0	1	467	198	90	3171	32	1	0	1	558	197	224	0	1	1409	2436	1	0	3	11559	3395	1457	0	0	0	175	140	158	2	0	1	115	119	114	0	0	480	833	1229	811	0	1	0	16	11	19	0	3	0	7	5	6	0	8	2659	1709	492	0	0	0	0	1	0	200	0	551	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	111	259	351	447	432	562	406	486	1216	1257	1137	696	1233	859	199	173	102	758	721	949	150	358	755	2436	2159	5119	249	160	780	472	1330	356	124	120	3801	4974	0	0	0	0	0	0	0	9	28	0	3	1	0	1	5	3	6	0	1	0	50	68	816	1	1	7	9	4	3	1	11	157	5	1	6	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	4600	2	1	0	0	0	0	0	0	0	0	0	0	0	4	0	444	0	0	0	0	0	0
ZOTU1199	93	0	108	1	67	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	97	0	0	0	37	30	0	0	0	0	0	0	11	3	11	0	0	55	3	0	0	0	0	1	2	0	0	0	2	2	1	0	0	0	5	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	4	0	3	2	0	2	2	2	5	2	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	13	6	67	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU1220	743	0	1430	0	5790	0	1	1	1	0	79	235	0	2	2	0	84	2	1	0	0	0	0	4	10379	0	4	0	16427	17173	9	11	0	3	0	0	887	206	685	1	1	1308	120	0	173	1	59	22	85	1	0	0	83	72	101	2	0	0	243	177	168	1	0	1	7	5	4	0	0	0	11	13	9	0	1	2	32	6	12	0	0	15	1	4	0	0	0	0	1	2	0	1	0	0	9	1	15	0	0	50	1	264	3	16	8	15	98	422	2	3	0	53	47	8	2	0	2	4	2	3	20	11	10	13	17	11	55	63	27	3	2	0	12	7	15	1	0	0	1	4	0	26	9	22	10	8	5	3890	3865	599	853	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	1	1	0	1	0	0	0	11	1	6	1	191	254	31	1	1	1	5	3	9	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ZOTU2001	160	119	1396	0	104	0	0	0	0	0	103	41	0	3	0	1	260	0	0	0	0	6	3	1	74	1	0	0	70	77	6	4	1	0	0	0	80	23	65	0	294	1147	104	1	0	0	14	10	88	0	0	0	11	15	10	0	0	0	180	165	139	0	0	0	1	0	7	0	0	0	1	2	0	0	0	0	9	5	3	1	0	2	1	0	0	0	0	1	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	0	1	2	0	7	0	1	1	3	3	3	5	3	5	1	4	0	0	1	1	4	5	12	43	13	60	2	0	0	3247	2260	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	3980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
