#OTU ID	0CR1	0CRR	0HR1	0L3	0SR1	12CL1	12CL2	12CL3	12CL4g	12CL4	12CO1	12CO3	12CR1	12CR2	12CR3	12CR4	12H01	12HL1	12HL2	12HL3g	12HL3-strich	12HR1	12HR2	12HR3	12S02	12SL1	12SL2	12SL3	12SO1	12SO3	12SR1	12SR2	12SR3	3CL1	3CL2	3CL3	3CR1	3CR2	3CR3	3HL1	3HL2	3HR1	3HR2	3SL1	3SL2	3SL3	3SR1	3SR2	3SR3	6CL1	6CL2	6CL3	6CR1	6CR2	6CR3	6HL1	6HL2	6HL3	6HR1	6HR2	6HR3	6SL1	6SL2	6SL3	6SR1	6SR2	6SR3	9CL1	9CL2	9CL3	9CR1	9CR2	9CR3	9HL1	9HL2	9HL3	9HR1	9HR2	9HR3	9SL1	9SL2	9SR1	9SR2	9SR3	Blank1a	Blank2a	C-day-1	C-day-2a	C-day-2b	C-day-2c	C-day-3	C-day-4	CF	KitBlank	MG001	MG002	MG003	MG004	MG004-redo	MG005	MG006	MG007	MG008	MG009	MG010	MG010-redo	MG011	MG012	MG013	MG014	MG015	MG016	MG017	MG018	MG019	MG020	MG021	MG022	MG023	MG024	MG025	MG026	MG027	MG028	MG029	MG030	MG031	MG032	MG033	MG034	MG035	MG036	MG037	MG038	MG039	MG040	MG041	MG042	MG043	MG044	MG045	MG046	MG047	MG048	MG049	MG050	MG051	MG052	MG053	MG054	MG055	MG056	MG056-redo	MG057	MG057-redo	MG058	MG059	MG060	MG061	MG062	MG063	MG064	MG065	MG066	MG067	MG068	MG069	MG070	MG071	MG072	MG073	MG074	MG075	MG076	MG077	MG078	MG079	MG080	MG081	MG082	MG083	MG084	MG085	MG086	MG087	MG088	MG089	MG090	MG091	MG092	MG093	MG094	MG095	MG095-redo	MG096	MG096-redo	MG097	MG097-redo	MG098	MG099	MG100	MG101	MG102	MG103	MG104	MG105	MG106	MG107	MG108	MG109	MG110	MG111	MG111-redo	Mock1-L	Mock1-R	NC01	NC02	NC03	NC04	NC05	NC06	NC07	NC08	NC09	NC10	NC11	NC12	NC13	OL1	ZymoMock319F-1	ZymoMock319F-2	ZymoMock319F-3	ZymoMock341F-1	ZymoMock341F-2	ZymoMock341F-3	Consensus Lineage
OTU72	13407	1	19	2	3365	7	0	0	4	1	7	32	0	0	0	0	0	0	2	0	0	3	0	0	899	3	0	2	694	736	2	5	0	1	3	1	949	249	522	0	5	2	9	0	0	0	20	6	4	2	1	0	161	114	133	0	0	0	0	0	8	0	0	0	1	6	1	10	0	0	3	5	2	1	0	0	0	0	2	1	0	3	2	1	0	0	0	1	0	15	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1164	559	1031	489	258	785	1659	2033	609	596	642	533	577	1291	946	339	455	389	951	532	604	0	1	1	0	0	0	1680	1079	1458	3	1	2	1	0	524	2384	0	0	0	0	0	0	0	0	209	2	1	1112	929	954	0	0	0	962	887	786	1	1	3	2042	1665	2006	2189	1813	2555	1738	2063	692	1419	1768	2581	1248	1408	922	2	1	2	0	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	112	7206	3517	0	0	0	0	0	0	0	0	1	0	0	0	0	5	1775	1468	1502	1526	1286	1343	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
OTU656	2223	0	1021	1	2036	0	0	0	0	0	8	40	0	0	0	1	6	0	1	0	0	3	0	0	1136	0	0	1	1053	1064	0	2	0	1	0	0	493	102	397	1	1	121	10	1	0	1	11	3	6	1	0	0	13	10	15	0	0	0	14	9	15	1	0	0	0	2	0	0	0	0	3	1	2	2	0	0	1	1	0	0	0	3	1	2	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	177	19	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
OTU68	645	0	3729	0	211	0	1	1	0	0	352	277	1	0	0	0	1108	0	0	0	0	0	0	0	687	29	0	0	616	907	0	0	0	0	0	0	172	62	144	0	0	691	48	0	0	0	9	0	32	0	0	0	18	9	9	0	0	0	47	42	29	0	209	11	0	2	0	3	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	31	1	5	0	0	1	6	0	0	0	0	1	2	1	0	0	0	16	6	3	1	0	0	5	4	0	11	3	5	7	7	4	19	24	17	1	2	3	2	1	5	0	0	0	0	0	0	18	1	14	0	3	1	243	198	152	23	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	94	64	115	0	44	0	150	0	368	0	0	2	1	469	11437	0	1	0	907	735	97	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__
OTU1030	7147	0	8088	3	2796	1	0	0	0	0	34	260	2	1	0	0	69	0	0	0	0	2	1	1	5851	1	1	0	5324	6104	2	3	0	2	0	1	2462	456	1907	1	2	925	70	1	0	0	22	14	48	1	0	0	64	50	95	0	0	0	126	105	84	2	0	0	5	1	1	0	4	0	5	5	5	0	0	0	4	2	1	1	0	11	4	2	0	0	0	1	0	0	2	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	2	5	1	3	4	0	3	5	5	1	0	0	4	4	4	0	0	0	0	0	1	1	2	6	0	0	0	1157	1340	172	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
OTU103	4858	1	13	10	2147	26	284	127	3	21	2	22	2	0	3	0	0	260	17	49	99	1	0	1	2441	4	1	8	1462	1540	29	10	1	90	221	0	823	278	431	3	215	3	13	1	515	0	39	12	12	10	2	376	131	68	85	65	4	169	0	0	9	324	306	86	4	2	0	6	33	24	1	5	4	10	3	330	0	0	1	4	11	6	0	1	0	0	1	87	1477	97	260	351	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	5	2	0	2	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	2	0	27	14	2	0	0	0	0	0	1	1	16642	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	292	2114	30	3	13	143	73	1632	9	23	4	109	0	58	0	1	1	0	2	2	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__
OTU1514	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__; f__; g__; s__
OTU188	3	0	3654	0	2	0	190	0	0	2	0	0	0	0	0	0	0	0	7	0	54	0	0	0	1	0	0	0	0	2	1	0	0	0	102	0	3	0	0	0	0	169	19	0	0	0	0	0	10	5	0	0	0	0	0	0	0	0	7	17	9	0	42	0	0	0	0	0	163	0	0	0	0	7	59	0	3	1	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	21	0	0	0	0	0	0	0	 k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
OTU43	434	1	4	1	79	4	0	61	2	74	2935	7956	2320	2332	2	2120	988	0	0	208	0	208	276	203	2736	195	2	0	2209	111	55	43	24	1	253	3	3784	1268	4136	337	2	90	10	2494	2	4	23	7	8	570	1	0	5158	1925	2152	1	25	1	44	55	45	3	0	0	59	15	9	86	96	400	2036	1419	1068	10	0	1	54	35	18	0	0	59	142	24	0	0	0	3	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	16	4	19	14	41	28	30	10	34	36	28	26	25	38	21	15	36	13	32	33	29	0	0	0	9	2	12	26	11	48	8	1	0	91	90	163	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4	0	0	0	40	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	17	6	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
OTU94	232	174	2031	1	144	0	0	0	0	0	140	61	0	0	0	2	380	0	0	0	0	9	4	4	123	1	0	0	101	118	9	3	1	0	1	0	124	34	92	0	421	1672	153	0	0	0	24	14	122	0	0	0	9	25	16	0	0	0	232	269	211	1	0	0	1	0	11	0	1	0	0	3	0	0	0	0	18	9	5	0	0	4	1	1	0	0	0	1	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	2	6	9	17	0	0	3	0	0	0	6453	4442	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	5718	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
OTU566	65	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	9	0	0	0	0	0	0	11	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Gemella; g__; s__
